latitude,longtitude,depth,temperature,time
,,0.916,28.2,1782049989781
,,0.957,28.2,1782049989862
,,0.989,28.2,1782049989941
44.16175,8.334921666666666,0.999,0.0,1782049990000
,,0.999,28.2,1782049990025
,,0.989,28.2,1782049990107
,,0.989,28.2,1782049990190
,,1.009,28.2,1782049990273
,,0.999,28.2,1782049990356
,,0.989,28.2,1782049990439
,,0.978,28.2,1782049990522
,,0.957,28.2,1782049990625
,,0.947,28.2,1782049990688
,,0.916,28.2,1782049990771
,,0.885,28.2,1782049990856
,,0.864,28.2,1782049990944
44.16175,8.334921666666666,0.864,0.0,1782049991000
,,0.864,28.2,1782049991021
,,0.874,28.2,1782049991104
,,0.895,28.2,1782049991188
,,0.916,28.2,1782049991270
,,0.937,28.2,1782049991437
,,0.957,28.2,1782049991522
,,0.978,28.2,1782049991604
,,1.009,28.2,1782049991688
,,1.030,28.2,1782049991767
,,1.051,28.2,1782049991850
,,1.093,28.2,1782049991933
44.16175,8.334923333333334,1.124,0.0,1782049992000
,,1.124,28.2,1782049992016
,,1.145,28.2,1782049992121
,,1.166,28.2,1782049992182
,,1.155,28.2,1782049992321
,,1.155,28.2,1782049992348
,,1.145,28.2,1782049992438
,,1.155,28.2,1782049992530
,,1.155,28.2,1782049992627
,,1.155,28.2,1782049992682
,,1.166,28.2,1782049992832
,,1.155,28.2,1782049992859
,,1.134,28.2,1782049992938
44.16175,8.334923333333334,1.134,0.0,1782049993000
,,1.134,28.2,1782049993021
,,1.114,28.2,1782049993095
,,1.124,28.2,1782049993178
,,1.145,28.2,1782049993261
,,1.155,28.2,1782049993344
,,1.176,28.2,1782049993427
,,1.176,28.2,1782049993510
,,1.207,28.2,1782049993624
,,1.228,28.2,1782049993676
,,1.249,28.2,1782049993759
,,1.270,28.2,1782049993842
,,1.259,28.2,1782049993925
44.16174666666667,8.334923333333334,1.259,0.0,1782049994000
,,1.259,28.2,1782049994008
,,1.301,28.2,1782049994091
,,1.301,28.2,1782049994174
,,1.280,28.2,1782049994257
,,1.249,28.2,1782049994340
,,1.218,28.2,1782049994426
,,1.176,28.2,1782049994589
,,1.176,28.2,1782049994672
,,1.155,28.2,1782049994771
,,1.145,28.2,1782049994838
,,1.134,28.2,1782049994924
44.161745,8.334923333333334,1.166,0.0,1782049995000
,,1.166,28.2,1782049995005
,,1.155,28.2,1782049995181
,,1.134,28.2,1782049995254
,,1.134,28.2,1782049995338
,,1.124,28.2,1782049995506
,,1.155,28.2,1782049995671
,,1.186,28.2,1782049995755
,,1.228,28.2,1782049995838
,,1.228,28.2,1782049995921
44.161739999999995,8.33492,1.238,0.0,1782049996000
,,1.238,28.2,1782049996023
,,1.249,28.2,1782049996083
